A	CreditItems	CreditContents																		
A	Title	Amazing Grace																		
A	Music by	Anonymous(Traditional)																		
A	Music source	https://en.wikiversity.org/wiki/Sing_free/Amazing_Grace#G_major																		
A	Music license	CC BY-SA 4.0																		
A	Music license URI	https://creativecommons.org/licenses/by-sa/4.0/																		
A	Music change	Added interlude.																		
A	Lyrics by	John Newton																		
A	Lyrics source	https://en.wikipedia.org/wiki/Amazing_Grace																		
A	Lyrics license	CC BY-SA 4.0																		
A	Lyrics license URI	https://creativecommons.org/licenses/by-sa/4.0/																		
A	Lyrics change	None																		
A	Disclaimer	No warranties are given.																		
B	NoteID	Fingering	Memo	Left	Right	Lyrics1	Lyrics2	Lyrics3	Lyrics4	Lyrics5			1	35	69	104	137	172		
B	1	1				A-							A-	Twas	Thro'	The	"Yes,"	The		
B	2	3				maz-							maz-	grace	ma-	Lord	when	earth		
B	3	5				i-							i-	tha-	n-	ha-	thi-	sha-		
B	4	3				ng							ng	t	y	s	s	ll		
B	5	5				grace!							grace!	taught	dan-	prom-	flesh	soon		
B	6	4				(how							(how	my	gers	is'd	and	dis-		
B	7	3				sweet							sweet	heart	toils	good	heart	solve		
B	8	2				the							the	to	and	to	shall	like		
B	9	1				sound)							sound)	"fear,"	"snares,"	"me,"	"fail,"	"snow,"		
B	10	1				That							That	And	I	His	And	The		
B	11	2				sav'd							sav'd	grace	have	Word	mor-	sun		
B	12	4				a							a	m-	a-	m-	ta-	fo-		
B	13	2												y	l-	y	l	r-		
B	14	4				wretch							wretch	fears	read-	hope	life	bear		
B	15	3				like							like	re-	y	se-	shall	to		
B	16	5				me!							me!	liev'd	come;	cures;	ceas;	shine;		
B	17	3				I							I	How	Tis	He	I	But		
B	18	5				once							once	pre-	grace	wi-	shall	God		
B	19	3				w-							w-	ci-	h-	ll	po-	who		
B	20	5				a-							a-	ou-	a-	m-	s-	call'-		
B	21	3				s							s	s	th	y	e-	d		
B	22	2				"lost,"							"lost,"	did	brought	shield	"ss,"	me		
B	23	1				but							but	that	me	and	wi-	he-		
B	24	2				now							now	grace	safe	por-	th-	re		
B	25	4				am							am	ap-	thu-	tio-	in	be-		
B	26	2				fo-							fo-	pe-	s	n	the	lo-		
B	27	1				"und,"							"und,"	ar	"far,"	be	"veil,"	"w,"		
B	28	1				Was							Was	The	And	As	a	Will		
B	29	3				blind							blind	hour	grace	long	life	be		
B	30	5				bu-							bu-	I	wi-	a-	o-	fo-		
B	31	3				t							t		ll	s	f	r-		
B	32	5				now							now	first	lead	life	joy	e-		
B	33	4				I							I	be-	me	en-	and	ver		
B	34	3				see.							see.	liev'd!	home.	dures.	peace.	mine.		
B	35	1				Twas					35									
B	36	3				grace														
B	37	5				tha-														
B	38	3				t														
B	39	5				taught														
B	40	4				my														
B	41	3				heart														
B	42	2				to														
B	43	1				"fear,"														
B	44	1				And														
B	45	2				grace														
B	46	4				m-														
B	47	2				y														
B	48	4				fears														
B	49	3				re-														
B	50	5				liev'd														
B	51	3				How														
B	52	5				pre-														
B	53	3				ci-														
B	54	5				ou-														
B	55	3				s														
B	56	2				did														
B	57	1				that														
B	58	2				grace														
B	59	4				ap-														
B	60	2				pe-														
B	61	1				ar														
B	62	1				The														
B	63	3				hour														
B	64	5				I														
B	65	3																		
B	66	5				first														
B	67	4				be-														
B	68	3				liev'd!														
B	69	1				Thro'					69									
B	70	3				ma-														
B	71	5				n-														
B	72	3				y														
B	73	5				dan-														
B	74	4				gers														
B	75	3				toils														
B	76	2				and														
B	77	1				"snares,"														
B	78	1				I														
B	79	2				have														
B	80	4				a-														
B	81	2				l-														
B	82	4				read-														
B	83	3				y														
B	84	5				come;														
B	85	3				Tis														
B	86	5				grace														
B	87	3				h-														
B	88	5				a-														
B	89	3				th														
B	90	2				brought														
B	91	1				me														
B	92	2				safe														
B	93	4				thu-														
B	94	2				s														
B	95	1				"far,"														
B	96	1				And														
B	97	3				grace														
B	98	5				wi-														
B	99	3				ll														
B	100	5				lead														
B	101	4				me														
B	102	3				home.														
B	103	1				The					104									
B	104	3				Lord														
B	105	5				ha-														
B	106	3				s														
B	107	5				prom-														
B	108	4				is'd														
B	109	3				good														
B	110	2				to														
B	111	1				"me,"														
B	112	1				His														
B	113	2				Word														
B	114	4				m-														
B	115	2				y														
B	116	4				hope														
B	117	3				se-														
B	118	5				cures;														
B	119	3				He														
B	120	5				wi-														
B	121	3				ll														
B	122	5				m-														
B	123	3				y														
B	124	2				shield														
B	125	1				and														
B	126	2				por-														
B	127	4				tio-														
B	128	2				n														
B	129	1				be														
B	130	1				As														
B	131	3				long														
B	132	5				a-														
B	133	3				s														
B	134	5				life														
B	135	4				en-														
B	136	3				dures.														
B	137	1				"Yes,"					137									
B	138	3				when														
B	139	5				thi-														
B	140	3				s														
B	141	5				flesh														
B	142	4				and														
B	143	3				heart														
B	144	2				shall														
B	145	1				"fail,"														
B	146	1				And														
B	147	2				mor-														
B	148	4				ta-														
B	149	2				l														
B	150	4				life														
