NoteID,Finger,Memo,Lyrics,Left,Right,Lyrics,Robert Burns(1759-1796) in 1788,,,,1,2,3,4,5
1,5,,Should,,,Text,en.m.wikipedia.org,,,,Should,And,We,We,And
2,4,,auld,,,,Burns's original scots verse,,,,auld,sure-,twa,twa,there's
3,3,,,,,Score,https://www.cpdl.org,,,,,,,,
4,3,,acqu-,,,,Choral Public Domain Library,,,,acqu-,ly,hae,hae,a
5,1,,,,,,,,,,,,,,
6,2,,ain-,,,,,,,,ain-,ye'll,run,pai-,hand
7,1,,,,,,,,,,,,,,
8,2,,tance,,,,,,,,tance,be,a-,dl'd,my
9,5,,,,,,,,,,,,,,
10,4,,be,,,,,,,,be,your,bout,in,trus-
11,3,,,,,,,,,,,,,,
12,3,,for-,,,,,,,,for-,pint-,the,the,ty
13,4,,,,,,,,,,,,,,
14,5,,got,,,,,,,,got,stoup!,breas,burn,fere!
15,5,,,,,,,,,,,,,,
16,4,,and,,,,,,,,and,and,and,frea,and
17,3,,,,,,,,,,,,,,
18,3,,ne-,,,,,,,,ne-,sure-,pou'd,mor-,gie's
19,1,,ver,,,,,,,,ver,ly,the,ning,a
20,2,,brought,,,,,,,,brought,I'll,go-,sun,hand
21,1,,,,,,,,,,,,,,
22,2,,to,,,,,,,,to,be,wans,till,o'
23,3,,,,,,,,,,,,,,
24,1,,mind?,,,,,,,,mind?,mine!,fine,dine,thine!
25,2,,,,,,,,,,,,,,
26,2,,Should,,,,,,,,Should,And we'll,But We've,But,And We'll
27,1,,,,,,,,,,,,,,
28,3,,auld,,,,,,,,auld,tak',wan-,seas,tak'
29,1,,,,,,,,,,,,,,
30,3,,acqu-,,,,,,,,acqu-,a,der'd,be,a
31,3,,,,,,,,,,,,,,
32,3,,ain-,,,,,,,,ain-,cup,mony,tween,right
33,5,,,,,,,,,,,,,,
34,4,,tance,,,,,,,,tance,o',a,us,gude-
35,3,,be,,,,,,,,be,kind-,wea-,braid,will-
36,4,,,,,,,,,,,,,,
37,5,,for-,,,,,,,,for-,ness,ry,hae,ie-
38,1,,,,,,,,,,,,,,
39,1,,got,,,,,,,,got,yet,fit,roar'd,waught
40,3,,,,,,,,,,,,,,
41,4,,and,,,,,,,,and,for,sin',sin',for
42,5,,,,,,,,,,,,,,
43,5,,au-,,,,,,,,au-,au-,au-,au-,au-
44,4,,,,,,,,,,,,,,
45,3,,ld,,,,,,,,ld,ld,ld,ld,ld
46,3,,,,,,,,,,,,,,
47,1,,la-,,,,,,,,la-,la-,la-,la-,la-
48,2,,,,,,,,,,,,,,
49,1,,ng,,,,,,,,ng,ng,ng,ng,ng
50,2,,,,,,,,,,,,,,
51,3,,syne?,,,,,,,,syne?,syne,syne,syne,syne
52,1,,,,,,,,,,,,,,
53,2,,For,,,,,,,,For,For,For,For,For
54,2,,,,,,,,,,,,,,
55,1,,au-,,,,,,,,au-,au-,au-,au-,au-
56,3,,,,,,,,,,,,,,
57,5,,ld,,,,,,,,ld,ld,ld,ld,ld
58,4,,la-,,,,,,,,la-,la-,la-,la-,la-
59,3,,,,,,,,,,,,,,
60,3,,ng,,,,,,,,ng,ng,ng,ng,ng
61,1,,syne,,,,,,,,syne,syne,syne,syne,syne
62,2,,,,,,,,,,,,,,
63,1,,my,,,,,,,,my,my,my,my,my
64,2,,,,,,,,,,,,,,
65,5,,jo,,,,,,,,jo,jo,jo,jo,jo
66,4,,,,,,,,,,,,,,
67,3,,for,,,,,,,,for,for,for,for,for
68,3,,,,,,,,,,,,,,
69,4,,au-,,,,,,,,au-,au-,au-,au-,au-
70,5,,,,,,,,,,,,,,
71,5,,ld,,,,,,,,ld,ld,ld,ld,ld
72,4,,la-,,,,,,,,la-,la-,la-,la-,la-
