NoteID,Fingering,Memo,Lyrics,Left,Right,,,,,,1,2,3,4,5
1,,,Oh,,,,,,,,Oh,But,,,
2,,,Danny,,,,,,,,Danny,when,,,
3,,,,,,,,,,,,ye,,,
4,,,boy,,,,,,,,boy,come,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
7,,,the ,,,,,,,,the ,and,,,
8,,,,,,,,,,,,,,,
9,,,pipes,,,,,,,,pipes,all,,,
10,,,,,,,,,,,,,,,
11,,,the ,,,,,,,,the ,the,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
14,,,pipes,,,,,,,,pipes,flowers,,,
15,,,,,,,,,,,,are,,,
16,,,,,,,,,,,,
17,,,call-,,,,,,,,call-,dy-
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,ing,,,,,,,,ing,ing
21,,,From,,,,,,,,From,If
22,,,glen,,,,,,,,glen,I
23,,,,,,,,,,,,
24,,,to,,,,,,,,to,am
25,,,,,,,,,,,,
26,,,glen,,,,,,,,glen,dead
27,,,,,,,,,,,,
28,,,and,,,,,,,,and,as
29,,,down,,,,,,,,down,dead
30,,,,,,,,,,,,
31,,,the ,,,,,,,,the ,I
32,,,,,,,,,,,,well
33,,,mountain,,,,,,,,mountain,
34,,,,,,,,,,,,may
35,,,side,,,,,,,,side,be
36,,,,,,,,,,,,
37,,,the ,,,,,,,,the ,Ye'll
38,,,summer's,,,,,,,,summer's,come
39,,,,,,,,,,,,and
40,,,gone,,,,,,,,gone,find
41,,,,,,,,,,,,
42,,,,,,,,,,,,
43,,,and,,,,,,,,and,the
44,,,,,,,,,,,,
45,,,all,,,,,,,,all,place
46,,,the ,,,,,,,,the ,where
47,,,roses,,,,,,,,roses,I
48,,,,,,,,,,,,am
49,,,fall-,,,,,,,,fall-,ly-
50,,,,,,,,,,,,
51,,,ing,,,,,,,,ing,ing
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,,,It's,,,,,,,,It's,And
55,,,you,,,,,,,,you,kneel
56,,,it's,,,,,,,,it's,and
57,,,you,,,,,,,,you,say
58,,,must,,,,,,,,must,And
59,,,gone,,,,,,,,gone,Ave
60,,,and,,,,,,,,and,
61,,,I,,,,,,,,I,there
62,,,must,,,,,,,,must,for
63,,,bide.,,,,,,,,bide.,me
64,,,But,,,,,,,,But,And
65,,,,,,,,,,,,
66,,,come,,,,,,,,come,I
67,,,,,,,,,,,,
68,,,ye,,,,,,,,ye,shall
69,,,,,,,,,,,,
70,,,back,,,,,,,,back,hear
71,,,,,,,,,,,,
72,,,when,,,,,,,,when,though
73,,,,,,,"Oh, Danny boy, the pipes, the pipes are calling",,,,,
74,,,summer's,,,,"From glen to glen, and down the mountain side.",,,,summer's,soft
75,,,,,,,"The summer's gone, and all the roses falling,",,,,,
76,,,,,,,"It's you, it's you must go and I must bide.",,,,,
77,,,in,,,,"But come ye back when summer's in the meadow,",,,,in,you
78,,,,,,,"Or when the valley's hushed and white with snow,",,,,,
79,,,the ,,,,"It's I'll be there in sunshine or in shadow,?",,,,the ,tread
80,,,meadow,,,,"Oh, Danny boy, Oh Danny boy, I love you so!",,,,meadow,above
81,,,,,,,,,,,,
82,,,,,,,"But when ye come, and all the flowers are dying,",,,,,
83,,,,,,,"If I am dead, as dead I well may be,",,,,,
84,,,,,,,"Ye'll come and find the place where I am lying,",,,,,me
85,,,,,,,And kneel and say an Ave there for me.,,,,,
86,,,Or,,,,"And I shall hear, though soft you tread above me,",,,,Or,And
87,,,,,,,"And all my grave will warmer, sweeter be,",,,,,
88,,,when,,,,"For you will bend and tell me that you love me,",,,,when,all
89,,,,,,,And I shall sleep in peace until you come to me!,,,,,
90,,,the ,,,,,,,,the ,my
91,,,,,,,,,,,,
92,,,valley's,,,,,,,,valley's,grave
93,,,,,,,,,,,,
94,,,,,,,,,,,,will
95,,,,,,,,,,,,
96,,,hushed,,,,,,,,hushed,warmer
97,,,,,,,,,,,,
98,,,and,,,,,,,,and,
99,,,white,,,,,,,,white,sweeter
100,,,,,,,,,,,,
101,,,with,,,,,,,,with,
102,,,snow,,,,,,,,snow,be
103,,,,,,,,,,,,
104,,,It's,,,,,,,,It's,For
105,,,I'll,,,,,,,,I'll,you
106,,,be,,,,,,,,be,will
107,,,there,,,,,,,,there,bend
108,,,,,,,,,,,,
109,,,in,,,,,,,,in,and
110,,,,,,,,,,,,
111,,,sun-,,,,,,,,sun-,tell
112,,,,,,,,,,,,
113,,,shine,,,,,,,,shine,me
114,,,or,,,,,,,,or,that
115,,,,,,,,,,,,
116,,,in,,,,,,,,in,you
117,,,,,,,,,,,,
118,,,shadow?,,,,,,,,shadow?,love
119,,,,,,,,,,,,
120,,,,,,,,,,,,
121,,,,,,,,,,,,me
122,,,,,,,,,,,,
123,,,Oh,,,,,,,,Oh,And
124,,,Danny,,,,,,,,Danny,I
125,,,,,,,,,,,,shall
126,,,boy,,,,,,,,boy,sleep
127,,,,,,,,,,,,
128,,,Oh,,,,,,,,Oh,in
129,,,Danny,,,,,,,,Danny,peace
130,,,,,,,,,,,,un-
131,,,,,,,,,,,,
132,,,boy,,,,,,,,boy,till
133,,,,,,,,,,,,
134,,,I,,,,,,,,I,you
135,,,love,,,,,,,,love,come
136,,,you,,,,,,,,you,to
137,,,so!,,,,,,,,so!,me!
138,,,But,,,,,,,,,
139,,,when,,,,,,,,,
140,,,ye,,,,,,,,,
141,,,come,,,,,,,,,
142,,,,,,,,,,,,
143,,,,,,,,,,,,
144,,,and
145,,,
146,,,all
147,,,
148,,,the
149,,,
150,,,
151,,,flowers
152,,,are
153,,,
154,,,dy-
155,,,
156,,,
157,,,ing
158,,,If
159,,,I
160,,,
161,,,am
162,,,
163,,,dead
164,,,
165,,,as
166,,,dead
167,,,
168,,,I
169,,,well
170,,,
