NoteID,Fingering,Memo,Left,Right,Lyrics1,Lyrics2,Lyrics3,Lyrics4,Lyrics5,,1,2,3,4,5,6
1,,,,,Have,,Are,,,,,,,,,
2,,,,,her,,you,,,,,,,,,
3,,,,,make,,go-,,,,,,,,,
4,,,,,me,,ing,,,,,,,,,
5,,,,,a,,to,,,,,,,,,
6,,,,,cam-,,Scar-,,,,,,,,,
7,,,,,,,bor-,,,,,,,,,
8,,,,,bric,,ough,,,,,,,,,
9,,,,,shirt,,Fair?,,,,,,,,,
10,,,,,pars-,,Pars-,,,,,,,,,
11,,,,,ley,,ley,,,,,,,,,
12,,,,,sage,,sage,,,,,,,,,
13,,,,,rose-,,rose,,,,,,,,,
14,,,,,mar-,,mar-,,,,,,,,,
15,,,,,y,,y,,,,,,,,,
16,,,,,and,,and
17,,,,,thyme,,thyme
18,,,,,with,,re-
19,,,,,out,,mem-
20,,,,,a,,ber
21,,,,,seam,,me
22,,,,,or,,to
23,,,,,fine,,one
24,,,,,nee-,,who
25,,,,,dle,,lives
26,,,,,work,,there
27,,,,,,,
28,,,,,and,,for
29,,,,,then,,once
30,,,,,she'll,,she
31,,,,,be,,was
32,,,,,and,,a
33,,,,,true ,,true 
34,,,,,love,,love
35,,,,,of,,of
36,,,,,mine,,mine
37,,,,,,,Have
38,,,,,,,her
39,,,,,,,wash
40,,,,,,,it
41,,,,,,,in
42,,,,,,,yon-
43,,,,,,,der
44,,,,,,,dry
45,,,,,,,well
46,,,,,,,Pars-
47,,,,,,,ley
48,,,,,,,sage
49,,,,,,,rose
50,,,,,,,mar-
51,,,,,,,y
52,,,,,,,and
53,,,,,,,thyme
54,,,,,,,where
55,,,,,,,ne'er
56,,,,,,,a
57,,,,,,,fdrop
58,,,,,,,of
59,,,,,,,wa-ter
60,,,,,,,e'er
61,,,,,,,fell
62,,,,,,,
63,,,,,,,and
64,,,,,,,then
65,,,,,,,she'll
66,,,,,,,be
67,,,,,,,and
68,,,,,,,true 
69,,,,,,,love
70,,,,,,,of
71,,,,,,,mine
72,,,,,If,If,If
73,,,,,she,she,she
74,,,,,tells,tells,tells
75,,,,,me,me,me
76,,,,,she,she,she
77,,,,,can't,can't,can't
78,,,,,I'll,I'll,I'll
79,,,,,re-,re-,re-
80,,,,,ply,ply,ply
81,,,,,Pars-,Pars-,Pars-
82,,,,,ley,ley,ley
83,,,,,sage,sage,sage
84,,,,,rose,rose,rose
85,,,,,mar-,mar-,mar-
86,,,,,y,y,y
87,,,,,and,and,and
88,,,,,thyme,thyme,thyme
89,,,,,let,let,let
90,,,,,me,me,me
91,,,,,know,know,know
92,,,,,that,that,that
93,,,,,at,at,at
94,,,,,least,least,least
95,,,,,she,she,she
96,,,,,will,will,will
97,,,,,try,try,try
98,,,,,,,
99,,,,,and,and,and
100,,,,,then,then,then
101,,,,,she'll,she'll,she'll
102,,,,,be,be,be
103,,,,,and,and,and
104,,,,,true ,true ,true 
105,,,,,love,love,love
106,,,,,of,of,of
107,,,,,mine,mine,mine
108,,,,,,,Love
109,,,,,,,im-
110,,,,,,,po
111,,,,,,,ses
112,,,,,,,im-
113,,,,,,,pos-
114,,,,,,,si-
115,,,,,,,ble
116,,,,,,,tasks
117,,,,,,,Pars-
118,,,,,,,ley
119,,,,,,,sage
120,,,,,,,rose
121,,,,,,,mar-
122,,,,,,,y
123,,,,,,,and
124,,,,,,,thyme
125,,,,,,,though
126,,,,,,,not
127,,,,,,,more
128,,,,,,,than
129,,,,,,,
130,,,,,,,an-
131,,,,,,,y
132,,,,,,,heart
133,,,,,,,asks
134,,,,,,,
135,,,,,,,and
136,,,,,,,I
137,,,,,,,must
138,,,,,,,know
139,,,,,,,she's
140,,,,,,,a
141,,,,,,,true 
142,,,,,,,love
143,,,,,,,of
144,,,,,,,mine
145,,,,,Dear,Dear,Dear
146,,,,,when,when,when
147,,,,,thou,thou,thou
148,,,,,hast,hast,hast
149,,,,,fin-,fin-,fin-
150,,,,,ished,ished,ished
151,,,,,thy,thy,thy
152,,,,,task,task,task
153,,,,,Pars-,Pars-,Pars-
154,,,,,ley,ley,ley
155,,,,,sage,sage,sage
156,,,,,rose,rose,rose
157,,,,,mar-,mar-,mar-
158,,,,,y,y,y
159,,,,,and,and,and
160,,,,,thyme,thyme,thyme
161,,,,,come,come,come
162,,,,,to,to,to
163,,,,,me,me,me
164,,,,,,,
165,,,,,my,my,my
