NoteID,Fingering,Memo,Left,Right,Lyrics1,Lyrics2,Lyrics3,Lyrics4,Lyrics5,,1,2,3,4,5,6
1,,,,,Tis,,,,,,Tis,I'll,So,,,
2,,,,,the,,,,,,the,not,,,,
3,,,,,last,,,,,,last,leave,soon,,,
4,,,,,rose,,,,,,rose,thee,may,,,
5,,,,,,,,,,,,,,,,
6,,,,,of,,,,,,of,thou,I,,,
7,,,,,,,,,,,,,,,,
8,,,,,sum-,,,,,,sum-,lone,fol-,,,
9,,,,,mer,,,,,,mer,one,low,,,
10,,,,,Left,,,,,,Left,To,When,,,
11,,,,,,,,,,,,,,,,
12,,,,,bloom-,,,,,,bloom-,pine,friend-,,,
13,,,,,,,,,,,,,,,,
14,,,,,ing,,,,,,ing,on,ships,,,
15,,,,,,,,,,,,,,,,
16,,,,,a-,,,,,,a-,the,de-
17,,,,,,,,,,,,,
18,,,,,lone;,,,,,,lone;,stem;,cay
19,,,,,All,,,,,,All,Since,And
20,,,,,her,,,,,,her,the,from
21,,,,,love-,,,,,,love-,love-,love's
22,,,,,ly,,,,,,ly,ly,shin-
23,,,,,,,,,,,,,
24,,,,,com-,,,,,,com-,are,ing
25,,,,,,,,,,,,,
26,,,,,pan-,,,,,,pan-,sleep-,cir-
27,,,,,oons,,,,,,oons,ing,cle
28,,,,,Are,,,,,,Are,Go,The
29,,,,,,,,,,,,,
30,,,,,fade-,,,,,,fade-,sleep,gems
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,ed,,,,,,ed,thou,drop
35,,,,,and,,,,,,and,with,a-
36,,,,,gone.,,,,,,gone.,them,way!
37,,,,,No,,,,,,No,Thus,When
38,,,,,,,,,,,,,
39,,,,,flow-,,,,,,flow-,kind-,true 
40,,,,,er,,,,,,er,ly,
41,,,,,of,,,,,,of,I,hearts
42,,,,,her,,,,,,her,,lie
43,,,,,kin-,,,,,,kin-,scat,wither-
44,,,,,dred,,,,,,dred,ter,ed
45,,,,,No,,,,,,No,Thy,And
46,,,,,,,,,,,,,
47,,,,,rose,,,,,,rose,leaves,found
48,,,,,,,,,,,,,
49,,,,,bud,,,,,,bud,o'er,ones
50,,,,,is,,,,,,is,the,are
51,,,,,nigh,,,,,,nigh,bed,flown
52,,,,,,,,,,,,,
53,,,,,,,,,,,,,
54,,,,,,,,,,,,,
55,,,,,,,,,,,,,
56,,,,,,,,,,,,,
57,,,,,,,,,,,,,
58,,,,,To,,,,,,To,Where,Oh!
59,,,,,re-,,,,,,re-,thy,
60,,,,,flect,,,,,,flect,mates,who
61,,,,,back,,,,,,back,of,would
62,,,,,,,,,,,,,
63,,,,,,,,,,,,,
64,,,,,her,,,,,,her,the,in-
65,,,,,,,,,,,,,
66,,,,,blush-,,,,,,blush-,gard-,hab-
67,,,,,es,,,,,,es,en,it
68,,,,,Or,,,,,,Or,Lie,This
69,,,,,,,,,,,,,
70,,,,,give,,,,,,give,scent,bleak
71,,,,,,,,,,,,,
72,,,,,,,,,,,,,
73,,,,,,,,,,,,,
74,,,,,sigh,,,,,,sigh,less,world
75,,,,,for,,,,,,for,and,a-
76,,,,,sigh.,,,,,,sigh.,dead.,lone.
77,,,,,I'll,,,,,,,,Oh!
78,,,,,not,,,,,,,,
79,,,,,leave,,,,,,,,who
80,,,,,thee,,,,,,,,would
81,,,,,,,,,,,,,
82,,,,,thou,,,,,,,,in-
83,,,,,,,,,,,,,
84,,,,,lone,,,,,,,,hab-
85,,,,,one,,,,,,,,it
86,,,,,,,,,,,,,This
87,,,,,To,,,,,,,,
88,,,,,pine,,,,,,,,bleak
89,,,,,,,,,,,,,
90,,,,,on,,,,,,,,
91,,,,,,,,,,,,,would
92,,,,,the,,,,,,,,a-
93,,,,,,,,,,,,,lone?
94,,,,,stem;,,,,,,,,
95,,,,,Since,,,,,,,,
96,,,,,the
97,,,,,love-
98,,,,,ly
99,,,,,
100,,,,,are
101,,,,,
102,,,,,sleep-
103,,,,,ing
104,,,,,Go
105,,,,,
106,,,,,sleep
107,,,,,
108,,,,,
109,,,,,
110,,,,,thou
111,,,,,with
112,,,,,them
113,,,,,Thus
114,,,,,
115,,,,,kind-
116,,,,,ly
117,,,,,I
118,,,,,
119,,,,,scat
120,,,,,ter
121,,,,,Thy
122,,,,,
123,,,,,leaves
124,,,,,
125,,,,,o'er
126,,,,,the
127,,,,,bed
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,Where
135,,,,,thy
136,,,,,mates
137,,,,,of
138,,,,,
139,,,,,
140,,,,,the
141,,,,,
142,,,,,gard-
143,,,,,en
144,,,,,Lie
145,,,,,
146,,,,,scent
147,,,,,
148,,,,,
149,,,,,
150,,,,,less
151,,,,,and
152,,,,,dead.
153,,,,,So
154,,,,,
155,,,,,soon
156,,,,,may
157,,,,,
158,,,,,I
159,,,,,
160,,,,,fol-
161,,,,,low
162,,,,,
163,,,,,When
164,,,,,friend-
165,,,,,
166,,,,,ships
167,,,,,
168,,,,,de-
169,,,,,
170,,,,,cay
171,,,,,And
172,,,,,from
173,,,,,love's
174,,,,,shin-
175,,,,,
176,,,,,ing
